symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM6,-2,0,0.25,496186101226,496186101247,1,29404.50,29378.00,$(53.00),05/11/2026 07:24:05,05/11/2026 07:25:47,1min 41sec
MNQM6,-2,0,0.25,496186101259,496186101278,1,29344.25,29319.00,$(50.50),05/11/2026 07:27:13,05/11/2026 07:28:13,1min 
MNQM6,-2,0,0.25,496186101290,496186101309,1,29326.50,29301.25,$(50.50),05/11/2026 07:28:31,05/11/2026 07:29:05,33sec
MNQM6,-2,0,0.25,496186101321,496186101340,1,29294.25,29267.00,$(54.50),05/11/2026 07:31:14,05/11/2026 07:31:41,26sec
MNQM6,-2,0,0.25,496186101352,496186101384,1,29278.00,29302.50,$49.00,05/11/2026 07:33:05,05/11/2026 07:33:54,49sec
MNQM6,-2,0,0.25,496186101429,496186101393,1,29397.00,29402.75,$11.50,05/11/2026 07:56:45,05/11/2026 07:56:03,42sec
MNQM6,-2,0,0.25,496186101438,496186101506,1,29394.00,29398.25,$8.50,05/11/2026 08:00:00,05/11/2026 08:11:33,11min 32sec
MNQM6,-2,0,0.25,496186101515,496186101543,1,29385.50,29392.25,$13.50,05/11/2026 08:21:21,05/11/2026 08:22:06,45sec
MNQM6,-2,0,0.25,496186101569,496186101597,1,29422.00,29424.50,$5.00,05/11/2026 08:34:53,05/11/2026 08:39:52,4min 59sec
MNQM6,-2,0,0.25,496186101623,496186101642,1,29423.00,29398.00,$(50.00),05/11/2026 10:03:27,05/11/2026 10:12:08,8min 40sec
MNQM6,-2,0,0.25,496186101654,496186101797,1,29393.75,29462.00,$136.50,05/11/2026 10:15:36,05/11/2026 10:39:04,23min 27sec
MNQM6,-2,0,0.25,496186101809,496186101841,1,29419.50,29422.75,$6.50,05/11/2026 13:00:45,05/11/2026 13:02:08,1min 22sec
